sDate,Open,High,Low,Close,Volume
04/26/2024,"175.99","176.42","171.40","173.69","56,500,793"
04/25/2024,"153.36","158.28","152.77","157.95","36,197,793"
04/24/2024,"159.09","161.39","158.82","161.10","19,485,689"
04/23/2024,"158.59","160.48","157.97","159.92","16,115,410"
04/22/2024,"156.01","159.19","155.66","157.95","17,243,869"
04/19/2024,"157.75","157.99","153.91","155.72","21,479,881"
04/18/2024,"156.93","158.49","156.21","157.46","14,016,070"
04/17/2024,"157.19","158.68","156.14","156.88","16,237,750"
04/16/2024,"155.64","157.23","155.05","156.00","15,413,200"
04/15/2024,"160.28","160.83","156.15","156.33","21,140,949"
04/12/2024,"159.41","161.70","158.60","159.19","16,989,770"
04/11/2024,"158.34","161.12","157.93","160.79","17,841,699"
04/10/2024,"157.88","158.16","156.20","157.66","16,339,170"
04/09/2024,"157.35","159.89","156.64","158.14","21,538,141"
04/08/2024,"154.02","156.66","153.99","156.14","16,641,529"
04/05/2024,"151.68","154.84","151.08","153.94","16,297,320"
04/04/2024,"155.08","156.18","151.88","151.94","24,184,840"
04/03/2024,"154.92","156.55","154.13","156.37","17,266,180"
04/02/2024,"154.75","155.99","153.46","155.87","17,598,061"
04/01/2024,"151.83","157.00","151.65","156.50","24,469,820"
03/28/2024,"152.00","152.67","151.33","152.26","21,105,631"
03/27/2024,"152.15","152.69","150.13","151.94","16,621,961"
03/26/2024,"151.24","153.20","151.03","151.70","19,312,689"
03/25/2024,"150.95","151.46","148.80","151.15","15,114,730"
03/22/2024,"150.24","152.56","150.09","151.77","19,252,930"
03/21/2024,"150.32","151.31","148.01","148.74","19,843,920"
03/20/2024,"148.79","149.76","147.67","149.68","17,730,000"
03/19/2024,"148.98","149.62","147.01","147.92","17,748,369"
03/18/2024,"149.37","152.93","148.14","148.48","47,676,688"
03/15/2024,"143.41","144.34","141.13","142.17","41,039,488"
03/14/2024,"142.30","144.73","141.49","144.34","36,117,910"
03/13/2024,"140.06","142.19","140.01","140.77","19,637,000"
03/12/2024,"138.25","140.28","138.21","139.62","19,019,699"
03/11/2024,"137.07","139.98","137.07","138.94","22,536,369"
03/08/2024,"135.04","138.99","134.80","136.29","26,495,160"
03/07/2024,"133.89","135.82","132.66","135.24","24,107,279"
03/06/2024,"134.24","134.74","131.95","132.56","23,175,199"
03/05/2024,"132.74","134.02","131.55","133.78","28,447,551"
03/04/2024,"136.54","136.63","132.86","134.20","43,571,512"
03/01/2024,"139.61","140.00","137.98","138.08","28,551,529"
02/29/2024,"138.35","139.95","137.57","139.78","35,485,008"
02/28/2024,"139.10","139.28","136.64","137.43","30,628,699"
02/27/2024,"139.41","140.49","138.50","140.10","22,363,980"
02/26/2024,"143.45","143.84","138.74","138.75","33,513,012"
02/23/2024,"144.97","145.96","144.79","145.29","14,519,430"
02/22/2024,"146.12","146.20","144.01","145.32","23,024,711"
02/21/2024,"142.64","143.98","141.91","143.84","16,499,580"
02/20/2024,"140.94","143.33","140.80","142.20","18,625,590"
02/16/2024,"144.21","144.48","141.52","141.76","21,865,119"
02/15/2024,"144.46","144.76","141.88","143.94","26,724,311"
02/14/2024,"147.37","147.83","145.56","147.14","16,651,820"
02/13/2024,"146.07","148.04","145.11","146.37","18,138,480"
02/12/2024,"149.54","150.59","148.56","148.73","17,236,109"
02/09/2024,"147.95","150.70","147.43","150.22","21,877,689"
02/08/2024,"146.97","147.61","146.42","147.22","18,241,320"
02/07/2024,"146.12","147.00","145.21","146.68","21,436,131"
02/06/2024,"145.96","146.74","144.52","145.41","21,517,660"
02/05/2024,"144.04","146.67","143.91","144.93","29,254,439"
02/02/2024,"140.89","143.88","138.17","143.54","42,136,129"
02/01/2024,"143.69","144.62","142.26","142.71","25,526,859"
01/31/2024,"145.39","145.59","141.55","141.80","43,908,578"
01/30/2024,"154.01","155.04","152.78","153.05","26,578,930"
01/29/2024,"153.64","155.20","152.92","154.84","20,909,260"
01/26/2024,"152.87","154.11","152.80","153.79","19,494,490"
01/25/2024,"151.74","154.76","151.22","153.64","21,495,119"
01/24/2024,"150.29","151.57","149.84","150.35","19,245,029"
01/23/2024,"147.72","148.86","147.19","148.68","14,113,650"
01/22/2024,"148.71","150.02","147.58","147.71","21,829,230"
01/19/2024,"146.31","148.04","145.80","147.97","27,181,029"
01/18/2024,"143.44","145.59","143.35","144.99","18,876,801"
01/17/2024,"142.91","143.41","140.51","142.89","17,884,551"
01/16/2024,"143.43","145.84","143.06","144.08","19,198,939"
01/12/2024,"144.34","144.74","143.36","144.24","13,998,730"
01/11/2024,"144.90","146.66","142.22","143.67","17,471,131"
01/10/2024,"142.52","144.53","142.46","143.80","16,641,881"
01/09/2024,"140.06","142.80","139.79","142.56","19,579,670"
01/08/2024,"138.00","140.64","137.88","140.53","17,645,289"
01/05/2024,"138.35","138.81","136.85","137.39","15,439,480"
01/04/2024,"139.85","140.64","138.01","138.04","18,253,330"
01/03/2024,"138.60","141.09","138.43","140.36","18,974,311"
01/02/2024,"139.60","140.61","137.74","139.56","20,071,891"
12/29/2023,"140.68","141.44","139.90","140.93","14,880,960"
12/28/2023,"141.85","142.27","140.83","141.28","12,192,550"
12/27/2023,"142.83","143.32","141.05","141.44","17,288,359"
12/26/2023,"142.98","143.95","142.50","142.82","11,170,070"
12/22/2023,"142.13","143.25","142.06","142.72","18,513,520"
12/21/2023,"140.77","142.03","140.47","141.80","18,101,480"
12/20/2023,"140.33","143.08","139.41","139.66","33,507,340"
12/19/2023,"138.00","138.77","137.45","138.10","20,661,000"
12/18/2023,"133.86","138.38","133.77","137.19","25,699,770"
12/15/2023,"132.92","134.83","132.63","133.84","58,594,000"
12/14/2023,"134.77","135.04","131.06","133.20","29,619,100"
12/13/2023,"134.55","134.78","132.95","133.97","25,414,461"
12/12/2023,"133.27","134.54","132.83","133.64","26,583,980"
12/11/2023,"133.82","134.79","132.89","134.70","24,502,859"
12/08/2023,"135.66","137.99","135.57","136.64","23,016,141"
12/07/2023,"136.60","140.00","136.23","138.45","38,419,434"
12/06/2023,"132.90","133.31","131.31","131.43","16,360,650"
12/05/2023,"130.37","133.54","129.73","132.39","19,235,150"
12/04/2023,"131.29","131.45","129.40","130.63","24,117,080"
12/01/2023,"133.32","133.50","132.15","133.32","24,267,990"
11/30/2023,"136.40","136.96","132.79","133.92","29,913,529"
11/29/2023,"138.99","139.67","136.30","136.40","21,014,721"
11/28/2023,"137.63","138.66","137.04","138.62","17,046,869"
11/27/2023,"137.57","139.63","137.54","138.05","17,886,391"
11/24/2023,"139.54","139.68","137.47","138.22","8,828,640"
11/22/2023,"139.10","141.10","139.00","140.02","17,310,211"
11/21/2023,"137.94","138.97","137.71","138.62","17,648,070"
11/20/2023,"135.50","138.43","135.49","137.92","19,589,010"
11/17/2023,"137.82","138.00","135.48","136.94","25,590,189"
11/16/2023,"136.96","138.88","136.08","138.70","17,615,070"
11/15/2023,"136.64","136.84","135.33","136.38","15,840,880"
11/14/2023,"135.65","137.24","135.10","135.43","22,317,350"
11/13/2023,"133.36","134.11","132.77","133.64","16,409,859"
11/10/2023,"131.53","134.27","130.87","134.06","20,879,840"
11/09/2023,"133.36","133.96","131.51","131.69","17,976,529"
11/08/2023,"132.36","133.54","132.16","133.26","15,093,600"
11/07/2023,"131.98","133.28","131.14","132.40","19,223,789"
11/06/2023,"130.22","131.56","129.93","131.45","15,360,360"
11/03/2023,"129.09","130.73","129.01","130.37","19,529,449"
11/02/2023,"129.56","130.09","128.11","128.58","24,091,670"
11/01/2023,"125.34","127.74","124.93","127.57","26,536,600"
10/31/2023,"126.27","126.56","123.93","125.30","21,123,420"
10/30/2023,"124.46","126.55","123.88","125.75","24,165,631"
10/27/2023,"124.03","124.44","121.46","123.40","37,367,672"
10/26/2023,"124.47","125.46","122.32","123.44","33,907,359"
10/25/2023,"129.77","130.10","126.09","126.67","58,796,070"
10/24/2023,"139.16","140.71","138.75","140.12","26,535,199"
10/23/2023,"136.23","139.02","135.11","137.90","20,780,670"
10/20/2023,"138.59","139.04","136.25","136.74","24,970,260"
10/19/2023,"139.80","141.01","138.60","138.98","21,831,180"
10/18/2023,"140.75","141.99","138.71","139.28","18,304,869"
10/17/2023,"140.03","141.25","138.53","140.99","17,424,020"
10/16/2023,"139.73","140.91","139.32","140.49","17,345,561"
10/13/2023,"140.65","141.34","137.97","138.58","19,447,570"
10/12/2023,"142.16","142.38","139.45","140.29","18,173,109"
10/11/2023,"139.85","142.22","139.84","141.70","20,146,340"
10/10/2023,"139.51","140.74","138.43","139.20","19,554,920"
10/09/2023,"137.99","139.97","136.70","139.50","16,599,100"
10/06/2023,"134.94","139.19","134.94","138.73","20,826,680"
10/05/2023,"136.13","136.50","134.46","135.99","15,922,940"
10/04/2023,"133.66","136.57","133.43","136.27","22,847,990"
10/03/2023,"134.93","135.24","132.82","133.30","19,628,740"
10/02/2023,"132.16","135.36","132.07","135.17","19,210,391"
09/29/2023,"134.08","134.89","131.32","131.85","23,237,340"
09/28/2023,"130.69","134.18","130.69","133.13","18,201,391"
09/27/2023,"129.44","131.72","129.38","131.46","18,764,199"
09/26/2023,"130.91","131.41","128.19","129.45","20,378,789"
09/25/2023,"130.77","132.22","130.03","132.17","14,650,030"
09/22/2023,"131.68","133.01","130.51","131.25","17,355,279"
09/21/2023,"132.39","133.19","131.09","131.36","22,058,381"
09/20/2023,"138.83","138.84","134.52","134.59","21,473,529"
09/19/2023,"138.25","139.18","137.50","138.83","15,484,640"
09/18/2023,"137.63","139.93","137.63","138.96","16,233,590"
09/15/2023,"138.80","139.36","137.18","138.30","48,958,840"
09/14/2023,"138.39","139.55","137.06","138.99","19,064,609"
09/13/2023,"135.90","137.70","134.93","137.50","16,394,920"
09/12/2023,"137.13","137.64","135.93","136.07","15,212,930"
09/11/2023,"137.38","138.26","136.55","137.74","17,180,760"
09/08/2023,"135.87","137.52","135.87","137.20","17,820,010"
09/07/2023,"134.60","136.58","133.96","136.20","16,975,961"
09/06/2023,"137.02","137.48","134.69","135.37","15,814,330"
09/05/2023,"136.44","137.37","135.56","136.71","17,730,221"
09/01/2023,"138.43","138.58","135.94","136.80","16,671,650"
08/31/2023,"137.05","138.40","136.82","137.35","28,147,850"
08/30/2023,"135.57","137.25","135.02","136.93","21,773,359"
08/29/2023,"133.00","137.30","132.98","135.49","30,803,270"
08/28/2023,"132.08","133.24","130.85","131.79","16,715,471"
08/25/2023,"130.14","131.40","128.04","130.69","20,678,100"
08/24/2023,"134.73","134.97","130.30","130.42","18,680,381"
08/23/2023,"130.85","134.07","130.51","133.21","26,497,029"
08/22/2023,"129.13","130.95","128.93","129.69","15,569,370"
08/21/2023,"127.85","129.26","127.16","128.93","21,851,070"
08/18/2023,"129.06","129.83","127.00","128.11","23,627,199"
08/17/2023,"130.45","132.49","129.85","130.46","23,665,561"
08/16/2023,"129.28","130.90","128.46","129.11","17,548,359"
08/15/2023,"131.59","131.99","129.82","130.27","14,769,170"
08/14/2023,"129.85","131.91","129.59","131.83","17,526,199"
08/11/2023,"129.20","130.44","128.75","130.17","15,205,470"
08/10/2023,"131.97","132.65","130.04","130.21","17,855,680"
08/09/2023,"132.19","132.47","129.51","130.15","17,745,221"
08/08/2023,"130.98","131.94","130.13","131.84","16,835,949"
08/07/2023,"129.51","132.06","129.43","131.94","17,621,039"
08/04/2023,"129.60","131.93","128.32","128.54","20,521,850"
08/03/2023,"128.37","129.77","127.78","128.77","15,086,130"
08/02/2023,"129.84","130.42","127.85","128.64","22,705,779"
08/01/2023,"130.86","132.92","130.75","131.89","22,219,010"
07/31/2023,"133.01","133.83","132.13","133.11","18,381,891"
07/28/2023,"130.97","134.07","130.92","133.01","26,971,010"
07/27/2023,"131.80","133.60","129.18","129.87","35,931,609"
07/26/2023,"130.36","131.37","128.71","129.66","46,216,898"
07/25/2023,"121.88","123.69","121.53","122.79","31,820,850"
07/24/2023,"121.93","123.35","121.38","121.88","22,312,221"
07/21/2023,"120.87","121.30","119.07","120.31","56,514,648"
07/20/2023,"122.12","124.70","118.69","119.53","27,541,711"
07/19/2023,"124.79","125.47","122.47","122.78","22,313,801"
