Historical USD to MYR Exchange Rates,Unnamed: 1
02-11-21,4.226
01-11-21,4.232
31-10-21,4.231
30-10-21,4.238
29-10-21,4.241
28-10-21,4.241
27-10-21,4.24
26-10-21,4.2283
25-10-21,4.233
24-10-21,4.2325
23-10-21,4.23
22-10-21,4.224
21-10-21,4.224
20-10-21,4.2245
19-10-21,4.221
18-10-21,4.21
21-10-21,4.2195
16-10-21,4.2155
15-10-21,4.22
14-10-21,4.22
13-10-21,4.2095
12-10-21,4.221
11-10-21,4.211
10-10-21,4.2215
09-10-21,4.232
08-10-21,4.236
07-10-21,4.236
06-10-21,4.2345
05-10-21,4.2295
04-10-21,4.2235
