Date,Open,High,Low,Close,Volume
4/26/2024,175.99,176.42,171.4,173.69,"56,500,793"
4/25/2024,153.36,158.28,152.77,157.95,"36,197,793"
4/24/2024,159.09,161.39,158.82,161.1,"19,485,689"
4/23/2024,158.59,160.48,157.97,159.92,"16,115,410"
4/22/2024,156.01,159.19,155.66,157.95,"17,243,869"
4/19/2024,157.75,157.99,153.91,155.72,"21,479,881"
4/18/2024,156.93,158.49,156.21,157.46,"14,016,070"
4/17/2024,157.19,158.68,156.14,156.88,"16,237,750"
4/16/2024,155.64,157.23,155.05,156,"15,413,200"
4/15/2024,160.28,160.83,156.15,156.33,"21,140,949"
4/12/2024,159.41,161.7,158.6,159.19,"16,989,770"
4/11/2024,158.34,161.12,157.93,160.79,"17,841,699"
4/10/2024,157.88,158.16,156.2,157.66,"16,339,170"
4/9/2024,157.35,159.89,156.64,158.14,"21,538,141"
4/8/2024,154.02,156.66,153.99,156.14,"16,641,529"
4/5/2024,151.68,154.84,151.08,153.94,"16,297,320"
4/4/2024,155.08,156.18,151.88,151.94,"24,184,840"
4/3/2024,154.92,156.55,154.13,156.37,"17,266,180"
4/2/2024,154.75,155.99,153.46,155.87,"17,598,061"
4/1/2024,151.83,157,151.65,156.5,"24,469,820"
3/28/2024,152,152.67,151.33,152.26,"21,105,631"
3/27/2024,152.15,152.69,150.13,151.94,"16,621,961"
3/26/2024,151.24,153.2,151.03,151.7,"19,312,689"
3/25/2024,150.95,151.46,148.8,151.15,"15,114,730"
3/22/2024,150.24,152.56,150.09,151.77,"19,252,930"
3/21/2024,150.32,151.31,148.01,148.74,"19,843,920"
3/20/2024,148.79,149.76,147.67,149.68,"17,730,000"
3/19/2024,148.98,149.62,147.01,147.92,"17,748,369"
3/18/2024,149.37,152.93,148.14,148.48,"47,676,688"
3/15/2024,143.41,144.34,141.13,142.17,"41,039,488"
3/14/2024,142.3,144.73,141.49,144.34,"36,117,910"
3/13/2024,140.06,142.19,140.01,140.77,"19,637,000"
3/12/2024,138.25,140.28,138.21,139.62,"19,019,699"
3/11/2024,137.07,139.98,137.07,138.94,"22,536,369"
3/8/2024,135.04,138.99,134.8,136.29,"26,495,160"
3/7/2024,133.89,135.82,132.66,135.24,"24,107,279"
3/6/2024,134.24,134.74,131.95,132.56,"23,175,199"
3/5/2024,132.74,134.02,131.55,133.78,"28,447,551"
3/4/2024,136.54,136.63,132.86,134.2,"43,571,512"
3/1/2024,139.61,140,137.98,138.08,"28,551,529"
2/29/2024,138.35,139.95,137.57,139.78,"35,485,008"
2/28/2024,139.1,139.28,136.64,137.43,"30,628,699"
2/27/2024,139.41,140.49,138.5,140.1,"22,363,980"
2/26/2024,143.45,143.84,138.74,138.75,"33,513,012"
2/23/2024,144.97,145.96,144.79,145.29,"14,519,430"
2/22/2024,146.12,146.2,144.01,145.32,"23,024,711"
2/21/2024,142.64,143.98,141.91,143.84,"16,499,580"
2/20/2024,140.94,143.33,140.8,142.2,"18,625,590"
2/16/2024,144.21,144.48,141.52,141.76,"21,865,119"
2/15/2024,144.46,144.76,141.88,143.94,"26,724,311"
2/14/2024,147.37,147.83,145.56,147.14,"16,651,820"
2/13/2024,146.07,148.04,145.11,146.37,"18,138,480"
2/12/2024,149.54,150.59,148.56,148.73,"17,236,109"
2/9/2024,147.95,150.7,147.43,150.22,"21,877,689"
2/8/2024,146.97,147.61,146.42,147.22,"18,241,320"
2/7/2024,146.12,147,145.21,146.68,"21,436,131"
2/6/2024,145.96,146.74,144.52,145.41,"21,517,660"
2/5/2024,144.04,146.67,143.91,144.93,"29,254,439"
2/2/2024,140.89,143.88,138.17,143.54,"42,136,129"
2/1/2024,143.69,144.62,142.26,142.71,"25,526,859"
1/31/2024,145.39,145.59,141.55,141.8,"43,908,578"
1/30/2024,154.01,155.04,152.78,153.05,"26,578,930"
1/29/2024,153.64,155.2,152.92,154.84,"20,909,260"
1/26/2024,152.87,154.11,152.8,153.79,"19,494,490"
1/25/2024,151.74,154.76,151.22,153.64,"21,495,119"
1/24/2024,150.29,151.57,149.84,150.35,"19,245,029"
1/23/2024,147.72,148.86,147.19,148.68,"14,113,650"
1/22/2024,148.71,150.02,147.58,147.71,"21,829,230"
1/19/2024,146.31,148.04,145.8,147.97,"27,181,029"
1/18/2024,143.44,145.59,143.35,144.99,"18,876,801"
1/17/2024,142.91,143.41,140.51,142.89,"17,884,551"
1/16/2024,143.43,145.84,143.06,144.08,"19,198,939"
1/12/2024,144.34,144.74,143.36,144.24,"13,998,730"
1/11/2024,144.9,146.66,142.22,143.67,"17,471,131"
1/10/2024,142.52,144.53,142.46,143.8,"16,641,881"
1/9/2024,140.06,142.8,139.79,142.56,"19,579,670"
1/8/2024,138,140.64,137.88,140.53,"17,645,289"
1/5/2024,138.35,138.81,136.85,137.39,"15,439,480"
1/4/2024,139.85,140.64,138.01,138.04,"18,253,330"
1/3/2024,138.6,141.09,138.43,140.36,"18,974,311"
1/2/2024,139.6,140.61,137.74,139.56,"20,071,891"
12/29/2023,140.68,141.44,139.9,140.93,"14,880,960"
12/28/2023,141.85,142.27,140.83,141.28,"12,192,550"
12/27/2023,142.83,143.32,141.05,141.44,"17,288,359"
12/26/2023,142.98,143.95,142.5,142.82,"11,170,070"
12/22/2023,142.13,143.25,142.06,142.72,"18,513,520"
12/21/2023,140.77,142.03,140.47,141.8,"18,101,480"
12/20/2023,140.33,143.08,139.41,139.66,"33,507,340"
12/19/2023,138,138.77,137.45,138.1,"20,661,000"
12/18/2023,133.86,138.38,133.77,137.19,"25,699,770"
12/15/2023,132.92,134.83,132.63,133.84,"58,594,000"
12/14/2023,134.77,135.04,131.06,133.2,"29,619,100"
12/13/2023,134.55,134.78,132.95,133.97,"25,414,461"
12/12/2023,133.27,134.54,132.83,133.64,"26,583,980"
12/11/2023,133.82,134.79,132.89,134.7,"24,502,859"
12/8/2023,135.66,137.99,135.57,136.64,"23,016,141"
12/7/2023,136.6,140,136.23,138.45,"38,419,434"
12/6/2023,132.9,133.31,131.31,131.43,"16,360,650"
12/5/2023,130.37,133.54,129.73,132.39,"19,235,150"
12/4/2023,131.29,131.45,129.4,130.63,"24,117,080"
12/1/2023,133.32,133.5,132.15,133.32,"24,267,990"
11/30/2023,136.4,136.96,132.79,133.92,"29,913,529"
11/29/2023,138.99,139.67,136.3,136.4,"21,014,721"
11/28/2023,137.63,138.66,137.04,138.62,"17,046,869"
11/27/2023,137.57,139.63,137.54,138.05,"17,886,391"
11/24/2023,139.54,139.68,137.47,138.22,"8,828,640"
11/22/2023,139.1,141.1,139,140.02,"17,310,211"
11/21/2023,137.94,138.97,137.71,138.62,"17,648,070"
11/20/2023,135.5,138.43,135.49,137.92,"19,589,010"
11/17/2023,137.82,138,135.48,136.94,"25,590,189"
11/16/2023,136.96,138.88,136.08,138.7,"17,615,070"
11/15/2023,136.64,136.84,135.33,136.38,"15,840,880"
11/14/2023,135.65,137.24,135.1,135.43,"22,317,350"
11/13/2023,133.36,134.11,132.77,133.64,"16,409,859"
11/10/2023,131.53,134.27,130.87,134.06,"20,879,840"
11/9/2023,133.36,133.96,131.51,131.69,"17,976,529"
11/8/2023,132.36,133.54,132.16,133.26,"15,093,600"
11/7/2023,131.98,133.28,131.14,132.4,"19,223,789"
11/6/2023,130.22,131.56,129.93,131.45,"15,360,360"
11/3/2023,129.09,130.73,129.01,130.37,"19,529,449"
11/2/2023,129.56,130.09,128.11,128.58,"24,091,670"
